Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
3,0,862616,0,-445,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-206,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,305,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-386,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,454,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-67,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-522,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,862616,0,-206,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,305,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-386,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,454,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-67,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-522,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,862616,0,305,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-386,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,454,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-67,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-522,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,862616,0,-386,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,454,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-67,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-522,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-232,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,862616,0,454,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-67,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-522,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-232,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,196,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,862616,0,-67,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-522,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-232,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,196,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,564,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,862616,0,-522,399105,45735,798561,11268,372585,7178,1862518,26,0,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-232,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,196,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,564,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,469,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,862616,0,-594,399105,45735,798561,11268,372585,7178,1862518,26,0,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-232,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,196,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,564,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,469,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-71,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,583006,0,664,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-232,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,196,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,564,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,469,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-71,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-441,1093188,31049,465141,14132,326417,3162,1762083,26,0
3,0,583006,0,274,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-381,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,328,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-232,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,196,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,564,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,469,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-71,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,583006,0,-441,1093188,31049,465141,14132,326417,3162,1762083,26,0,0,599482,0,539,1028162,24683,586652,34604,361877,6586,1674183,26,0
