Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
3,0,717814,0,393,1152752,15553,636271,9500,303387,6271,1888254,26,0,0,717814,0,311,1152752,15553,636271,9500,303387,6271,1888254,26,0,0,717814,0,569,1152752,15553,636271,9500,303387,6271,1888254,26,0,0,290616,0,-260,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,211,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,583,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,609,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0
3,0,717814,0,311,1152752,15553,636271,9500,303387,6271,1888254,26,0,0,717814,0,569,1152752,15553,636271,9500,303387,6271,1888254,26,0,0,290616,0,-260,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,211,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,583,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,609,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0
3,0,717814,0,569,1152752,15553,636271,9500,303387,6271,1888254,26,0,0,290616,0,-260,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,211,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,583,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,609,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0
3,0,290616,0,-260,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,211,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,583,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,609,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,480,293906,2503,73594,1160,83626,3099,467336,26,0
3,0,290616,0,211,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,583,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,609,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,480,293906,2503,73594,1160,83626,3099,467336,26,0,0,1909246,0,-563,1733737,59209,804996,6748,378602,2826,2184960,26,0
3,0,290616,0,583,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,609,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,480,293906,2503,73594,1160,83626,3099,467336,26,0,0,1909246,0,-563,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,-366,1733737,59209,804996,6748,378602,2826,2184960,26,0
3,0,290616,0,609,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,480,293906,2503,73594,1160,83626,3099,467336,26,0,0,1909246,0,-563,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,-366,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,184,1733737,59209,804996,6748,378602,2826,2184960,26,0
3,0,290616,0,-129,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,480,293906,2503,73594,1160,83626,3099,467336,26,0,0,1909246,0,-563,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,-366,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,184,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,507,1733737,59209,804996,6748,378602,2826,2184960,26,0
3,0,290616,0,-291,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,480,293906,2503,73594,1160,83626,3099,467336,26,0,0,1909246,0,-563,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,-366,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,184,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,507,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,573,1733737,59209,804996,6748,378602,2826,2184960,26,0
3,0,290616,0,-570,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,-516,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,56,293906,2503,73594,1160,83626,3099,467336,26,0,0,290616,0,480,293906,2503,73594,1160,83626,3099,467336,26,0,0,1909246,0,-563,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,-366,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,184,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,507,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,573,1733737,59209,804996,6748,378602,2826,2184960,26,0,0,1909246,0,388,1733737,59209,804996,6748,378602,2826,2184960,26,0
