Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
4,0,997257,0,-1195,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,2047,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,1560,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-2048,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,355,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,93,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-1108,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,997257,0,2047,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,1560,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-2048,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,355,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,93,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-1108,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,997257,0,1560,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-2048,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,355,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,93,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-1108,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,997257,0,-2048,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,355,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,93,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-1108,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,385,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,997257,0,355,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,93,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-1108,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,385,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1329,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,997257,0,93,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,-1108,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,385,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1329,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-2005,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,997257,0,-1108,203626,43800,33117,63737,58469,50213,94614,51,0,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,385,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1329,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-2005,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-419,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,997257,0,615,203626,43800,33117,63737,58469,50213,94614,51,0,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,385,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1329,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-2005,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-419,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,2047,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,1449211,0,-1121,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,385,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1329,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-2005,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-419,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,2047,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1906,197299,152415,55007,31878,203782,130333,157617,51,0
4,0,1449211,0,-99,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,23,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1042,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,385,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1329,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-2005,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,-419,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,2047,197299,152415,55007,31878,203782,130333,157617,51,0,0,1449211,0,1906,197299,152415,55007,31878,203782,130333,157617,51,0,0,1829243,0,-1381,1993638,837449,645590,799697,306608,357023,607797,51,0
