Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
1,27,938445,63,308,20583,4116,1672,2359,1579,1106,49854,0,0,27,938445,63,515,20583,4116,1672,2359,1579,1106,49854,0,0,27,938445,63,-152,20583,4116,1672,2359,1579,1106,49854,0,0,16,660727,44,-41,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-305,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,91,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,185,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0
1,27,938445,63,515,20583,4116,1672,2359,1579,1106,49854,0,0,27,938445,63,-152,20583,4116,1672,2359,1579,1106,49854,0,0,16,660727,44,-41,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-305,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,91,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,185,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0
1,27,938445,63,-152,20583,4116,1672,2359,1579,1106,49854,0,0,16,660727,44,-41,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-305,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,91,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,185,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0
1,16,660727,44,-41,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-305,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,91,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,185,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,68,103600,14475,38680,29145,11862,1816,298999,0,0
1,16,660727,44,-305,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,91,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,185,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,68,103600,14475,38680,29145,11862,1816,298999,0,0,16,717417,34,-146,303164,27986,25543,33314,5003,1781,258053,0,0
1,16,660727,44,91,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,185,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,68,103600,14475,38680,29145,11862,1816,298999,0,0,16,717417,34,-146,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-307,303164,27986,25543,33314,5003,1781,258053,0,0
1,16,660727,44,185,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,68,103600,14475,38680,29145,11862,1816,298999,0,0,16,717417,34,-146,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-307,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-42,303164,27986,25543,33314,5003,1781,258053,0,0
1,16,660727,44,120,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,68,103600,14475,38680,29145,11862,1816,298999,0,0,16,717417,34,-146,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-307,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-42,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,245,303164,27986,25543,33314,5003,1781,258053,0,0
1,16,660727,44,283,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,68,103600,14475,38680,29145,11862,1816,298999,0,0,16,717417,34,-146,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-307,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-42,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,245,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,80,303164,27986,25543,33314,5003,1781,258053,0,0
1,16,660727,44,-5,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,742,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,6,103600,14475,38680,29145,11862,1816,298999,0,0,16,660727,44,68,103600,14475,38680,29145,11862,1816,298999,0,0,16,717417,34,-146,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-307,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-42,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,245,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,80,303164,27986,25543,33314,5003,1781,258053,0,0,16,717417,34,-23,303164,27986,25543,33314,5003,1781,258053,0,0
